'Elapsed time','chest_ecg','wrist_ppg','wrist_gyro_x','wrist_gyro_y','wrist_gyro_z','wrist_low_noise_accelerometer_x','wrist_low_noise_accelerometer_y','wrist_low_noise_accelerometer_z','wrist_wide_range_accelerometer_x','wrist_wide_range_accelerometer_y','wrist_wide_range_accelerometer_z','wrist_mag_x','wrist_mag_y','wrist_mag_z','sample_times_for_all_signals_apart_from_ecg'
'0:00.148',33.022,1383.853,8.437,-10.515,12.029,0.887,-0.971,9.224,0.572,-1.01,9.003,0.126,0.798,-0.484,46.146
'0:00.152',32.756,1383.992,7.865,-9.562,11.579,1.095,-1.019,9.432,0.85,-1.05,9.193,0.118,0.789,-0.484,46.15
'0:00.156',31.128,1384.128,7.203,-8.194,11.939,1.229,-1.055,9.602,0.945,-1.05,9.263,0.123,0.798,-0.482,46.154
'0:00.160',71.566,1384.239,6.744,-7.015,11.977,1.314,-1.067,9.736,1.068,-1.097,9.489,0.125,0.799,-0.476,46.157
'0:00.164',78.315,1384.295,6.046,-5.427,12.456,1.375,-1.091,9.809,1.106,-1.075,9.617,0.137,0.796,-0.473,46.161
'0:00.168',81.275,1384.285,5.809,-3.881,12.625,1.326,-1.113,9.845,1.173,-1.114,9.676,0.123,0.803,-0.48,46.165
'0:00.172',81.809,1384.25,4.968,-3.439,12.587,1.289,-1.088,9.845,1.154,-1.094,9.686,0.123,0.803,-0.48,46.169
'0:00.176',48.653,1384.327,4.565,-3.016,12.449,1.228,-1.099,9.819,1.086,-1.093,9.684,0.123,0.801,-0.486,46.173
'0:00.180',72.927,1384.665,4.162,-2.608,12.295,1.13,-1.098,9.769,1.01,-1.142,9.624,0.121,0.798,-0.484,46.177
'0:00.184',78.048,1385.355,4.029,-2.72,12.145,1.056,-1.121,9.732,0.952,-1.113,9.575,0.128,0.798,-0.484,46.181
'0:00.188',33.022,1386.358,3.595,-2.692,11.448,0.982,-1.155,9.754,0.837,-1.14,9.572,0.125,0.799,-0.486,46.185
'0:00.191',19.819,1387.574,3.506,-3.021,11.115,0.933,-1.19,9.741,0.77,-1.208,9.522,0.126,0.798,-0.48,46.189
'0:00.195',17.125,1388.85,3.783,-3.016,10.774,0.896,-1.226,9.703,0.77,-1.246,9.522,0.123,0.801,-0.471,46.193
'0:00.199',22.246,1390.038,3.158,-3.392,10.451,0.884,-1.239,9.63,0.693,-1.275,9.462,0.123,0.801,-0.471,46.196
'0:00.203',43.532,1391.024,2.958,-3.524,10.208,0.823,-1.239,9.557,0.674,-1.305,9.432,0.121,0.799,-0.482,46.2
'0:00.207',47.32,1391.693,2.869,-3.585,10.118,0.81,-1.24,9.484,0.665,-1.277,9.363,0.121,0.803,-0.48,46.204
'0:00.211',19.552,1391.882,2.727,-3.162,9.945,0.81,-1.241,9.436,0.684,-1.248,9.364,0.121,0.801,-0.478,46.208
'0:00.215',19.019,1391.547,2.493,-2.88,9.732,0.81,-1.302,9.374,0.628,-1.298,9.245,0.126,0.801,-0.484,46.212
'0:00.219',38.944,1390.892,2.416,-2.857,9.455,0.749,-1.302,9.325,0.59,-1.299,9.137,0.126,0.803,-0.476,46.216
'0:00.223',57.562,1390.205,2.152,-3.195,9.297,0.676,-1.253,9.276,0.542,-1.269,9.137,0.126,0.803,-0.476,46.22
'0:00.227',61.057,1389.609,2.105,-3.176,8.99,0.652,-1.194,9.216,0.485,-1.26,9.068,0.123,0.796,-0.476,46.224
'0:00.230',82.102,1388.982,1.875,-2.96,9.02,0.616,-1.121,9.205,0.456,-1.21,9.087,0.125,0.803,-0.48,46.228
'0:00.234',66.445,1388.121,1.456,-2.758,8.548,0.617,-1.085,9.17,0.456,-1.124,9.058,0.121,0.801,-0.478,46.232
'0:00.238',57.829,1386.94,1.173,-2.65,8.15,0.605,-1.002,9.098,0.418,-1.027,8.99,0.121,0.805,-0.48,46.236
'0:00.242',45.959,1385.452,0.785,-3.402,7.986,0.582,-0.93,9.075,0.409,-0.969,8.981,0.125,0.806,-0.478,46.239
'0:00.246',46.226,1383.689,-0.052,-3.914,7.899,0.558,-0.893,9.124,0.419,-0.892,8.952,0.123,0.805,-0.482,46.243
'0:00.250',62.417,1381.713,-0.434,-3.89,7.63,0.606,-0.88,9.234,0.409,-0.882,8.981,0.123,0.805,-0.482,46.247
'0:00.254',108.243,1379.716,-0.536,-3.19,7.528,0.741,-0.928,9.368,0.599,-0.938,9.228,0.126,0.799,-0.484,46.251
'0:00.258',102.321,1377.991,-0.843,-2.392,6.985,0.911,-1.002,9.502,0.656,-0.957,9.307,0.126,0.801,-0.48,46.255
'0:00.262',97.2,1376.782,-1.053,-1.504,6.037,1.021,-1.026,9.624,0.8,-1.035,9.407,0.128,0.805,-0.484,46.259
'0:00.266',99.334,1376.169,-1.631,-0.273,5.737,1.057,-1.074,9.696,0.857,-1.103,9.505,0.125,0.796,-0.473,46.263
'0:00.270',141.132,1376.04,-1.822,0.512,5.284,1.081,-1.11,9.708,0.866,-1.121,9.573,0.123,0.798,-0.476,46.267
'0:00.273',103.922,1376.231,-2.435,2.063,5.044,1.069,-1.122,9.684,0.885,-1.161,9.515,0.123,0.798,-0.471,46.271
'0:00.277',10.91,1376.629,-2.281,2.467,4.729,1.02,-1.146,9.658,0.915,-1.182,9.456,0.126,0.803,-0.471,46.275
'0:00.281',-35.183,1377.103,-2.54,2.603,4.1,0.958,-1.157,9.633,0.828,-1.171,9.455,0.125,0.803,-0.486,46.279
'0:00.285',21.419,1377.441,-2.653,2.683,3.687,0.921,-1.181,9.571,0.799,-1.2,9.425,0.128,0.798,-0.48,46.282
'0:00.289',109.87,1377.507,-2.61,2.913,3.144,0.885,-1.181,9.535,0.742,-1.2,9.395,0.125,0.798,-0.48,46.286
'0:00.293',196.4,1377.378,-2.737,2.932,2.653,0.872,-1.181,9.51,0.723,-1.19,9.355,0.128,0.799,-0.476,46.29
'0:00.297',134.383,1377.28,-2.866,2.551,2.185,0.884,-1.218,9.473,0.713,-1.2,9.365,0.128,0.803,-0.48,46.294
'0:00.301',14.697,1377.371,-2.974,2.73,1.922,0.884,-1.219,9.449,0.743,-1.24,9.306,0.128,0.803,-0.48,46.298
'0:00.305',-35.183,1377.608,-3.192,1.776,1.739,0.824,-1.17,9.377,0.705,-1.172,9.267,0.123,0.796,-0.484,46.302
'0:00.309',-29.261,1377.887,-3.497,1.085,1.709,0.739,-1.086,9.28,0.609,-1.163,9.188,0.123,0.801,-0.486,46.306
'0:00.313',35.716,1378.225,-4.131,0.489,1.836,0.69,-1.049,9.256,0.552,-1.096,9.09,0.128,0.801,-0.484,46.31
'0:00.316',143.826,1378.719,-4.076,0.569,1.971,0.678,-1.049,9.28,0.523,-1.085,9.099,0.128,0.798,-0.48,46.314
'0:00.320',163.244,1379.361,-4.306,0.531,1.701,0.764,-1.062,9.317,0.552,-1.114,9.148,0.123,0.801,-0.48,46.318
'0:00.324',117.685,1379.984,-4.488,0.493,1.364,0.824,-1.087,9.33,0.609,-1.114,9.178,0.123,0.799,-0.484,46.321
'0:00.328',193.706,1380.417,-5.436,0.348,1.12,0.861,-1.1,9.318,0.676,-1.105,9.219,0.133,0.799,-0.484,46.325
'0:00.332',289.145,1380.598,-5.769,0.207,1.653,0.861,-1.076,9.306,0.657,-1.086,9.199,0.13,0.799,-0.484,46.329
'0:00.336',536.626,1380.5,-6.049,0.437,1.731,0.874,-1.028,9.344,0.686,-1.106,9.18,0.133,0.799,-0.484,46.333
'0:00.340',544.975,1380.117,-6.397,0.662,2.211,0.886,-1.051,9.392,0.743,-1.047,9.269,0.13,0.799,-0.476,46.337
'0:00.344',419.634,1379.542,-6.75,0.437,2.297,0.923,-1.064,9.404,0.724,-1.085,9.278,0.126,0.805,-0.49,46.341
'0:00.348',326.355,1378.915,-7.083,0.616,2.222,0.959,-1.112,9.44,0.743,-1.135,9.249,0.132,0.803,-0.48,46.345
'0:00.352',324.728,1378.357,-7.046,0.836,1.817,1.007,-1.16,9.525,0.801,-1.154,9.289,0.132,0.803,-0.48,46.349
'0:00.355',300.989,1377.977,-6.901,1.151,1.675,1.092,-1.22,9.597,0.838,-1.24,9.386,0.13,0.799,-0.486,46.353
'0:00.359',271.354,1377.855,-6.926,1.677,1.866,1.14,-1.281,9.621,0.895,-1.298,9.465,0.13,0.798,-0.484,46.357
'0:00.363',315.019,1377.925,-6.911,1.851,1.54,1.14,-1.305,9.621,0.934,-1.319,9.436,0.142,0.799,-0.484,46.361
'0:00.367',231.716,1377.991,-7.157,1.762,1.578,1.127,-1.354,9.559,0.895,-1.327,9.465,0.13,0.798,-0.482,46.364
'0:00.371',3.921,1377.915,-6.815,1.753,1.758,1.078,-1.378,9.497,0.925,-1.338,9.416,0.128,0.803,-0.488,46.368
'0:00.375',-142.492,1377.691,-6.627,1.381,1.683,1.066,-1.416,9.412,0.868,-1.436,9.307,0.135,0.794,-0.48,46.372
'0:00.379',-52.174,1377.395,-6.221,1.297,1.229,1.029,-1.451,9.387,0.82,-1.505,9.257,0.135,0.794,-0.48,46.376
'0:00.383',104.455,1377.054,-5.772,1.217,1.102,0.992,-1.464,9.337,0.839,-1.525,9.247,0.128,0.798,-0.484,46.38
'0:00.387',106.349,1376.688,-5.273,0.813,0.899,0.907,-1.416,9.204,0.754,-1.478,9.07,0.13,0.798,-0.494,46.384
'0:00.391',55.402,1376.371,-5.159,-0.103,0.817,0.847,-1.32,9.108,0.716,-1.38,9.071,0.128,0.801,-0.486,46.388
'0:00.395',52.174,1376.207,-4.75,-0.771,0.588,0.835,-1.26,9.085,0.659,-1.343,8.953,0.149,0.789,-0.545,46.392
'0:00.398',81.275,1376.263,-4.371,-0.658,0.641,0.811,-1.236,9.085,0.611,-1.284,8.923,0.154,0.787,-0.551,46.396
'0:00.402',35.983,1376.569,-3.811,-0.771,0.435,0.81,-1.296,9.096,0.64,-1.333,8.953,0.154,0.787,-0.551,46.4
'0:00.406',-4.455,1377.082,-3.475,-0.54,0.423,0.81,-1.356,9.095,0.65,-1.353,8.913,0.149,0.787,-0.545,46.404
'0:00.410',-34.916,1377.705,-2.98,-0.559,0.311,0.821,-1.428,9.082,0.649,-1.401,8.942,0.149,0.783,-0.54,46.407
'0:00.414',3.628,1378.395,-2.349,-0.752,-0.052,0.76,-1.44,9.02,0.601,-1.43,8.902,0.151,0.783,-0.549,46.411
'0:00.418',40.571,1379.19,-2.013,-1.536,-0.322,0.638,-1.379,8.923,0.516,-1.459,8.832,0.153,0.782,-0.547,46.415
'0:00.422',28.968,1380.152,-1.724,-2.523,-0.022,0.541,-1.282,8.875,0.401,-1.341,8.782,0.149,0.785,-0.549,46.419
'0:00.426',167.272,1381.263,-0.917,-3.002,0.322,0.48,-1.232,8.899,0.324,-1.272,8.772,0.147,0.78,-0.526,46.423
'0:00.430',214.992,1382.389,-0.517,-3.172,0.259,0.541,-1.243,8.984,0.343,-1.272,8.792,0.147,0.78,-0.526,46.427
'0:00.434',195.04,1383.42,0.068,-3.472,-0.146,0.663,-1.305,9.082,0.438,-1.321,8.881,0.153,0.787,-0.549,46.431
'0:00.438',148.414,1384.344,0.779,-3.627,-0.881,0.821,-1.414,9.191,0.534,-1.36,8.941,0.139,0.787,-0.517,46.435
'0:00.441',74.82,1385.138,1.447,-3.345,-1.342,0.931,-1.475,9.288,0.687,-1.418,9.089,0.151,0.782,-0.551,46.439
'0:00.445',-1.227,1385.7,1.989,-3.031,-2.061,0.955,-1.474,9.361,0.715,-1.447,9.109,0.153,0.782,-0.542,46.443
'0:00.449',-85.063,1385.874,2.389,-2.326,-2.14,0.931,-1.412,9.422,0.743,-1.465,9.217,0.149,0.785,-0.551,46.446
'0:00.453',-94.212,1385.557,3.728,-1.311,-2.009,0.895,-1.399,9.458,0.723,-1.414,9.324,0.149,0.785,-0.551,46.45
'0:00.457',7.949,1384.818,4.383,-0.874,-2.271,0.87,-1.386,9.446,0.704,-1.414,9.324,0.149,0.783,-0.547,46.454
'0:00.461',117.685,1383.88,4.731,-1.099,-2.241,0.833,-1.374,9.409,0.685,-1.444,9.255,0.147,0.783,-0.542,46.458
'0:00.465',83.703,1382.929,5.464,-1.085,-2.792,0.834,-1.375,9.361,0.627,-1.452,9.283,0.149,0.783,-0.545,46.462
'0:00.469',6.882,1381.974,6.609,-1.151,-3.043,0.809,-1.363,9.349,0.638,-1.425,9.215,0.144,0.785,-0.54,46.466
'0:00.473',-57.029,1380.971,7.058,-1.189,-3.448,0.809,-1.376,9.312,0.657,-1.397,9.157,0.149,0.789,-0.542,46.47
'0:00.477',-78.581,1379.936,7.979,-1.461,-3.86,0.846,-1.377,9.276,0.619,-1.386,9.166,0.153,0.787,-0.545,46.474
'0:00.480',-64.578,1378.946,8.32,-2.542,-4.235,0.846,-1.343,9.18,0.658,-1.38,9.05,0.153,0.787,-0.545,46.478
'0:00.484',36.25,1378.099,8.847,-3.613,-4.366,0.847,-1.284,9.109,0.678,-1.333,8.953,0.147,0.785,-0.542,46.482
'0:00.488',211.231,1377.601,9.047,-3.975,-4.673,0.86,-1.237,9.098,0.669,-1.275,8.953,0.151,0.783,-0.542,46.486
'0:00.492',189.118,1377.705,9.518,-3.895,-4.62,0.921,-1.249,9.159,0.659,-1.265,8.944,0.146,0.783,-0.542,46.489
'0:00.496',65.111,1378.542,9.903,-3.768,-4.999,1.067,-1.287,9.209,0.861,-1.258,9.006,0.165,0.789,-0.517,46.493
'0:00.500',72.927,1380.012,10.334,-3.322,-5.625,1.189,-1.361,9.282,0.956,-1.354,9.143,0.147,0.787,-0.545,46.497
'0:00.504',150.841,1381.776,10.623,-2.824,-5.853,1.274,-1.374,9.331,1.014,-1.434,9.085,0.147,0.79,-0.54,46.501
'0:00.508',69.699,1383.361,10.601,-2.5,-5.782,1.275,-1.302,9.32,1.072,-1.347,9.087,0.151,0.79,-0.54,46.505
'0:00.512',-33.289,1384.354,10.761,-2.298,-5.617,1.215,-1.193,9.309,1.091,-1.309,9.087,0.144,0.787,-0.542,46.509
'0:00.516',-34.649,1384.584,10.712,-1.889,-5.284,1.155,-1.143,9.309,0.994,-1.199,9.174,0.147,0.785,-0.536,46.513
'0:00.520',-7.415,1384.107,10.897,-1.884,-4.995,1.106,-1.118,9.321,0.965,-1.13,9.165,0.126,0.799,-0.478,46.517
'0:00.523',26.567,1383.142,10.989,-2.175,-5.04,1.081,-1.117,9.357,0.945,-1.128,9.252,0.125,0.803,-0.484,46.521
'0:00.527',120.646,1382.044,11.088,-2.251,-5.13,1.081,-1.188,9.38,0.936,-1.157,9.262,0.126,0.808,-0.478,46.525
'0:00.531',164.845,1381.176,11.485,-2.664,-5.149,1.068,-1.223,9.415,0.945,-1.216,9.242,0.126,0.808,-0.478,46.529
'0:00.535',188.851,1380.748,11.528,-3.106,-5.081,1.044,-1.211,9.403,0.907,-1.235,9.241,0.125,0.805,-0.482,46.532
'0:00.539',224.968,1380.671,11.669,-3.942,-4.857,1.02,-1.163,9.392,0.859,-1.204,9.25,0.125,0.803,-0.478,46.536
'0:00.543',225.795,1380.615,11.436,-4.544,-4.523,1.008,-1.126,9.428,0.792,-1.175,9.181,0.118,0.803,-0.473,46.54
'0:00.547',264.605,1380.166,11.445,-4.558,-4.369,1.032,-1.126,9.453,0.82,-1.213,9.288,0.121,0.805,-0.467,46.544
'0:00.551',272.688,1379.03,11.282,-4.581,-4.197,1.068,-1.185,9.537,0.868,-1.184,9.309,0.128,0.799,-0.471,46.548
'0:00.555',128.995,1377.151,11.408,-4.699,-3.965,1.128,-1.27,9.585,0.925,-1.261,9.407,0.118,0.806,-0.473,46.552
'0:00.559',50.014,1374.761,11.38,-4.121,-4.002,1.153,-1.305,9.633,0.982,-1.29,9.447,0.118,0.806,-0.473,46.556
'0:00.563',152.441,1372.318,11.522,-3.928,-3.826,1.165,-1.317,9.669,0.963,-1.348,9.436,0.123,0.81,-0.467,46.56
'0:00.566',73.993,1370.314,11.312,-3.655,-3.316,1.116,-1.303,9.705,0.924,-1.347,9.475,0.121,0.805,-0.469,46.564
'0:00.570',6.615,1369.091,11.543,-3.801,-3.043,1.104,-1.28,9.669,0.924,-1.337,9.494,0.119,0.806,-0.469,46.568
'0:00.574',66.445,1368.708,11.26,-3.684,-2.623,1.043,-1.242,9.645,0.886,-1.308,9.455,0.119,0.806,-0.471,46.571
'0:00.578',126.034,1368.959,11.371,-4.045,-2.391,0.982,-1.218,9.62,0.847,-1.288,9.445,0.119,0.803,-0.465,46.575
'0:00.582',98.533,1369.492,11.294,-4.407,-2.14,0.958,-1.194,9.572,0.751,-1.306,9.452,0.119,0.803,-0.465,46.579
'0:00.586',92.612,1369.976,11.008,-4.858,-1.896,0.946,-1.194,9.559,0.732,-1.257,9.433,0.119,0.806,-0.465,46.583
'0:00.590',103.388,1370.231,11.122,-5.328,-1.724,0.946,-1.182,9.548,0.761,-1.189,9.444,0.116,0.806,-0.463,46.587
'0:00.594',126.301,1370.262,10.903,-5.479,-1.641,0.946,-1.158,9.56,0.799,-1.18,9.445,0.119,0.806,-0.461,46.591
'0:00.598',187.491,1370.109,10.869,-5.77,-1.589,0.946,-1.133,9.573,0.771,-1.189,9.454,0.116,0.808,-0.465,46.595
'0:00.602',148.947,1369.774,10.475,-5.925,-1.641,0.971,-1.098,9.562,0.732,-1.131,9.405,0.119,0.805,-0.465,46.599
'0:00.605',-25.207,1369.251,10.417,-6.254,-1.405,0.971,-1.063,9.526,0.713,-1.082,9.415,0.116,0.81,-0.465,46.603
'0:00.609',-90.985,1368.628,9.912,-6.287,-1.413,0.972,-1.027,9.527,0.8,-1.035,9.426,0.116,0.81,-0.465,46.607
'0:00.613',-141.932,1368.073,9.512,-6.503,-1.034,1.009,-0.968,9.504,0.81,-1.027,9.348,0.114,0.808,-0.457,46.611
'0:00.617',-108.776,1367.645,9.084,-6.719,-1.068,1.034,-0.92,9.505,0.848,-1.026,9.417,0.118,0.808,-0.459,46.614
'0:00.621',-117.419,1367.23,8.785,-6.926,-1.199,1.071,-0.885,9.53,0.896,-0.96,9.37,0.111,0.81,-0.463,46.618
'0:00.625',-112.564,1366.697,8.336,-6.747,-1.334,1.108,-0.873,9.555,0.973,-0.951,9.401,0.112,0.806,-0.457,46.622
'0:00.629',-34.649,1365.972,7.945,-6.686,-1.465,1.182,-0.85,9.581,0.992,-0.921,9.479,0.116,0.812,-0.444,46.626
'0:00.633',-4.188,1364.975,6.904,-5.662,-1.986,1.206,-0.91,9.617,1.002,-0.931,9.46,0.116,0.812,-0.444,46.63
'0:00.637',-87.224,1363.676,6.433,-5.619,-2.069,1.242,-0.947,9.641,1.136,-0.991,9.481,0.111,0.808,-0.459,46.634
'0:00.641',-132.249,1362.247,6.243,-5.15,-2.196,1.242,-0.982,9.664,1.078,-1.019,9.509,0.114,0.812,-0.461,46.638
'0:00.645',-120.646,1360.982,5.732,-4.882,-2.361,1.229,-1.03,9.651,1.059,-1.038,9.509,0.112,0.812,-0.455,46.642
'0:00.648',-138.704,1360.09,5.442,-4.722,-2.664,1.168,-1.053,9.626,1.02,-1.115,9.498,0.104,0.815,-0.455,46.646
'0:00.652',-140.065,1359.574,4.981,-5.258,-2.619,1.119,-1.042,9.54,1.03,-1.076,9.537,0.107,0.815,-0.455,46.65
'0:00.656',-103.388,1359.33,4.494,-5.488,-2.638,1.058,-1.005,9.492,0.925,-1.067,9.418,0.107,0.812,-0.463,46.654
'0:00.660',-21.979,1359.24,4.587,-5.474,-2.687,0.984,-1.028,9.478,0.829,-1.027,9.349,0.107,0.812,-0.463,46.657
'0:00.664',124.674,1359.184,4.196,-5.399,-2.773,0.947,-1.039,9.502,0.82,-1.008,9.319,0.114,0.813,-0.45,46.661
'0:00.668',30.328,1359.079,4.122,-5.432,-2.833,0.935,-1.061,9.562,0.8,-1.094,9.396,0.107,0.81,-0.448,46.665
'0:00.672',-93.145,1358.971,3.922,-5.164,-3.08,0.959,-1.074,9.562,0.809,-1.084,9.436,0.105,0.813,-0.455,46.669
'0:00.676',-203.149,1358.971,3.737,-5.309,-3.35,0.947,-1.085,9.61,0.809,-1.122,9.465,0.107,0.812,-0.45,46.673
'0:00.680',-277.542,1359.107,3.94,-5.526,-3.414,0.898,-1.084,9.597,0.77,-1.14,9.503,0.107,0.806,-0.446,46.677
'0:00.684',-296.161,1359.389,3.879,-5.709,-3.41,0.837,-1.071,9.584,0.722,-1.129,9.541,0.107,0.812,-0.455,46.681
'0:00.688',-244.386,1359.877,3.789,-5.619,-3.455,0.812,-1.047,9.512,0.607,-1.08,9.442,0.111,0.812,-0.455,46.685
'0:00.691',-147.88,1360.595,3.808,-5.634,-3.515,0.788,-1.036,9.475,0.617,-1.1,9.413,0.102,0.812,-0.453,46.689
'0:00.695',-117.419,1361.466,3.897,-5.685,-3.762,0.825,-1.024,9.476,0.617,-1.052,9.374,0.118,0.815,-0.453,46.693
'0:00.699',-109.603,1362.411,4.285,-6.179,-4.471,0.789,-0.999,9.5,0.579,-1.062,9.364,0.102,0.815,-0.45,46.696
'0:00.703',-106.616,1363.439,4.617,-6.268,-4.381,0.813,-0.976,9.489,0.617,-1.042,9.394,0.104,0.813,-0.446,46.7
'0:00.707',-96.933,1364.575,4.679,-6.249,-5.291,0.826,-0.952,9.465,0.637,-0.994,9.385,0.098,0.817,-0.453,46.704
'0:00.711',-72.66,1365.805,4.873,-6.099,-5.464,0.875,-0.942,9.442,0.685,-0.995,9.386,0.098,0.817,-0.453,46.708
'0:00.715',-70.766,1367.056,5.285,-5.944,-6.071,0.924,-0.92,9.407,0.733,-0.988,9.289,0.098,0.815,-0.446,46.712
'0:00.719',-117.419,1368.185,5.402,-5.619,-6.539,0.961,-0.945,9.371,0.801,-0.969,9.329,0.1,0.812,-0.448,46.716
'0:00.723',-128.462,1369.101,5.596,-5.657,-7.326,1.01,-0.96,9.31,0.849,-0.971,9.262,0.104,0.812,-0.453,46.72
